Region,City,Master Group,Master Category,Cost Price [INR],Net Number,Bill Number,Gross Sales Value (GSV) [INR],Net Sales Value [INR],Gross Profit [INR],Gross Profit Margin [%],Net Receivables [INR],Transaction Number,Sale Type,Sale Date,Customer ID,Group,Sub Category,Gender,Theme,Net Weight,Gross Weight,Quantity,Diamond Weight (CWT),Serial Number
South,HYDERABAD,Plain,Bangles,1507800.3,487,BB10018,1945347.43,1871048.75,74298.68,3.82,10462,NS001-186892674-538,Online,13-03-2025,C10018,Chains,classic,Female,MODERN,44,45.33,3,1.13,A461293
North,DELHI,CZ,Chains,2288321.17,388,BB10019,2609905.08,2522239,87666.08,3.36,11096,NS001-113067033-644,Online,26-03-2025,C10019,Bangles,xyz,Male,PCJ-PLAIN,37.91,39.55,1,1.05,A704461
East,BANGALORE,Plain,Rings,2274351.77,422,BB10020,2923883.67,2845466.37,78417.3,2.68,11848,NS001-207768219-216,Store,27-04-2025,C10020,Bangles,abc,Female,IND-GOLD,44.16,45.21,1,2.38,A689959
East,CHENNAI,CZ,Bracelets,2042853.8,196,BB10021,2388031.28,2325001.52,63029.76,2.64,15413,NS001-190386043-798,Store,25-04-2025,C10021,Rings,abc,Male,PCJ-PLAIN,16.37,17.96,1,2.22,A377884
South,BANGALORE,KDM,Bangles,1656852.99,385,BB10022,2098929.88,1996731.29,102198.59,4.87,13672,NS001-883631673-762,Store,18-04-2025,C10022,Bangles,abc,Male,PCJ-PLAIN,43.24,44.82,3,0.8,A639179
East,CHENNAI,KDM,Bangles,1624886.9,333,BB10023,1962622.7,1888034.3,74588.4,3.8,15465,NS001-288886190-218,Store,14-04-2025,C10023,Bracelets,abc,Female,PCJ-PLAIN,45.85,47.11,1,1.71,A715857
West,DELHI,CZ,Rings,2101677.77,206,BB10024,2586405.93,2470997.73,115408.2,4.46,13454,NS001-182087613-881,Online,01-04-2025,C10024,Bracelets,xyz,Female,PCJ-PLAIN,29.97,30.92,2,0.68,A942414
Central,HYDERABAD,CZ,Bangles,1369698.29,198,BB10025,1724912.16,1659028.84,65883.32,3.82,10438,NS001-682762944-833,Store,28-03-2025,C10025,Rings,bold,Female,IND-GOLD,18.3,19.04,2,1.36,A824525
Central,BANGALORE,KDM,Bracelets,1299977.35,485,BB10026,1442240.37,1424589.63,17650.74,1.22,12774,NS001-791045955-278,Online,08-04-2025,C10026,Bangles,abc,Female,PCJ-PLAIN,13.87,15.33,1,2.3,A849336
East,CHENNAI,Antique,Rings,2074802.23,227,BB10027,2293665.64,2222869.16,70796.48,3.09,15765,NS001-616419315-218,Store,07-03-2025,C10027,Bracelets,bold,Female,TRADITIONAL,47.47,48.03,2,1.62,A342632
South,CHENNAI,Antique,Rings,1550425.48,103,BB10028,1874305.54,1853980.33,20325.21,1.08,16040,NS001-396187976-833,Online,07-03-2025,C10028,Rings,xyz,Male,PCJ-PLAIN,42.81,43.65,2,1.93,A907225
West,HYDERABAD,Antique,Chains,1709947.64,469,BB10029,2211560.29,2162163.78,49396.51,2.23,14423,NS001-701336301-435,Store,12-03-2025,C10029,Bracelets,classic,Female,PCJ-PLAIN,26.45,27.13,2,0.46,A226403
West,DELHI,Plain,Chains,2488354.17,419,BB10030,2990965.56,2959447.73,31517.83,1.05,17927,NS001-293425835-867,Store,25-04-2025,C10030,Bracelets,abc,Female,PCJ-PLAIN,16.92,18.82,1,0.16,A283105
Central,HYDERABAD,Plain,Bracelets,2296827.68,201,BB10031,2814577.17,2754261.89,60315.28,2.14,16702,NS001-177186041-409,Online,22-03-2025,C10031,Bangles,abc,Female,TRADITIONAL,21.09,22.82,2,0.46,A172629
West,CHENNAI,Plain,Bracelets,1400716.56,356,BB10032,1795184.68,1760846.85,34337.83,1.91,10275,NS001-977276847-658,Online,08-03-2025,C10032,Bangles,classic,Female,MODERN,33.08,33.64,1,1.85,A681780
North,BANGALORE,Antique,Bangles,1441329.94,321,BB10033,1773715.95,1701619.21,72096.74,4.06,12007,NS001-251699887-925,Store,05-03-2025,C10033,Chains,classic,Male,IND-GOLD,17.24,17.76,1,1.57,A764475
North,DELHI,Antique,Rings,2093931.11,139,BB10034,2504895.91,2400298.59,104597.32,4.18,11131,NS001-981865311-982,Online,07-03-2025,C10034,Bangles,bold,Male,PCJ-PLAIN,46.48,47.8,3,0.44,A548456
North,CHENNAI,Plain,Bangles,1902406.42,178,BB10035,2224510.05,2133330.27,91179.78,4.1,12241,NS001-179927972-480,Store,19-04-2025,C10035,Bracelets,classic,Female,TRADITIONAL,33.62,34.32,1,0.24,A416713
Central,CHENNAI,Antique,Rings,1106138.69,460,BB10036,1301571.88,1238492.44,63079.44,4.85,11128,NS001-516569640-949,Store,24-04-2025,C10036,Bangles,abc,Female,IND-GOLD,22.93,24.07,2,0.05,A858254
South,MUMBAI,Plain,Bracelets,2161059.76,490,BB10037,2520139.52,2464523.42,55616.1,2.21,10173,NS001-349268308-582,Online,20-04-2025,C10037,Chains,xyz,Female,IND-GOLD,13.91,15.05,1,0.14,A895369
East,CHENNAI,CZ,Rings,1179105.23,392,BB10038,1419175.03,1351025.02,68150.01,4.8,17060,NS001-286098022-742,Store,30-04-2025,C10038,Bangles,abc,Female,MODERN,14.96,16.71,1,1.04,A411276
South,DELHI,KDM,Rings,1815589.89,210,BB10039,2097388.84,2026145.37,71243.47,3.4,13874,NS001-915283990-417,Online,01-04-2025,C10039,Bangles,xyz,Male,TRADITIONAL,17.53,18.89,1,2.12,A293847
North,MUMBAI,Plain,Chains,1715769.88,400,BB10040,2117700.37,2073381.95,44318.42,2.09,19947,NS001-967422887-660,Online,23-04-2025,C10040,Bangles,xyz,Female,PCJ-PLAIN,17.85,19.6,2,1.29,A495017
West,DELHI,Antique,Bracelets,2283358.82,192,BB10041,2844455.87,2804759.41,39696.46,1.4,19497,NS001-459022212-908,Store,05-04-2025,C10041,Chains,xyz,Male,IND-GOLD,28.23,29.09,2,2.04,A844491
Central,MUMBAI,Antique,Bangles,1102344.57,329,BB10042,1366426.15,1351231.45,15194.7,1.11,12750,NS001-498517990-943,Store,30-03-2025,C10042,Bracelets,abc,Male,MODERN,29.1,30.33,1,2.16,A914670
Central,MUMBAI,CZ,Chains,2074074.05,420,BB10043,2460971.28,2424148.17,36823.11,1.5,18162,NS001-827543893-200,Online,19-04-2025,C10043,Rings,bold,Female,MODERN,31.31,32.61,2,1.04,A217381
East,DELHI,KDM,Bangles,1701189.51,482,BB10044,1923894.25,1852148.71,71745.54,3.73,14142,NS001-962219516-514,Online,15-04-2025,C10044,Chains,abc,Male,MODERN,37.05,38.85,2,0.51,A884940
West,BANGALORE,CZ,Chains,2263743.66,142,BB10045,2929689.54,2858974.78,70714.76,2.41,12643,NS001-932746022-739,Store,27-04-2025,C10045,Rings,xyz,Male,TRADITIONAL,40.09,40.75,1,2.25,A213942
North,CHENNAI,CZ,Bangles,1023276.68,191,BB10046,1129605.64,1113758.3,15847.34,1.4,17869,NS001-629891673-283,Online,03-04-2025,C10046,Chains,abc,Male,MODERN,43.46,44.91,3,0.45,A578910
East,CHENNAI,Plain,Bracelets,1151978.16,378,BB10047,1421258.07,1396454.44,24803.63,1.75,11963,NS001-127668135-742,Store,24-04-2025,C10047,Bangles,xyz,Female,PCJ-PLAIN,49.76,50.72,2,0.93,A405771
North,MUMBAI,Antique,Rings,1079323,244,BB10048,1286550.52,1268899.13,17651.39,1.37,12290,NS001-778774292-673,Store,17-03-2025,C10048,Bracelets,classic,Male,MODERN,47.11,48.92,2,1.94,A344919
West,BANGALORE,CZ,Rings,2218014.54,414,BB10049,2517836.6,2440621.73,77214.87,3.07,15122,NS001-521072022-992,Online,28-03-2025,C10049,Chains,classic,Female,MODERN,29.94,31.38,1,0.96,A867346
West,CHENNAI,CZ,Bracelets,1974775.82,452,BB10050,2494578.82,2459469.44,35109.38,1.41,13425,NS001-533898538-995,Online,28-03-2025,C10050,Bangles,classic,Female,PCJ-PLAIN,49.3,50.98,1,2.16,A610430
South,DELHI,Antique,Rings,1349291.56,211,BB10051,1647194.8,1595998.65,51196.15,3.11,16985,NS001-536481025-871,Store,17-04-2025,C10051,Bracelets,abc,Male,TRADITIONAL,27.93,29.04,1,1.08,A747391
North,BANGALORE,KDM,Rings,1603285.81,143,BB10052,2066176.85,2005917.07,60259.78,2.92,17558,NS001-929022092-647,Online,08-03-2025,C10052,Bangles,abc,Male,IND-GOLD,13.1,14.79,3,1.29,A553006
South,HYDERABAD,Plain,Rings,1776057.55,265,BB10053,1967294.27,1876441.79,90852.48,4.62,15746,NS001-612366294-391,Online,13-04-2025,C10053,Bangles,bold,Male,PCJ-PLAIN,12.23,13.59,1,1.6,A947283
Central,MUMBAI,KDM,Rings,1717419.51,332,BB10054,2131843.17,2042455.74,89387.43,4.19,13652,NS001-722370146-150,Online,16-04-2025,C10054,Chains,classic,Female,TRADITIONAL,47.66,48.54,1,1.03,A170877
South,BANGALORE,CZ,Bangles,1988867.84,136,BB10055,2329397.4,2269745.66,59651.74,2.56,16205,NS001-207552666-866,Store,27-04-2025,C10055,Rings,bold,Male,PCJ-PLAIN,30.55,31.73,2,1.83,A488124
South,BANGALORE,Plain,Chains,1895713.95,157,BB10056,2442032.94,2344346.79,97686.15,4,19261,NS001-809575373-365,Store,30-03-2025,C10056,Rings,xyz,Male,PCJ-PLAIN,35.01,35.82,1,0.38,A650406
Central,BANGALORE,KDM,Bangles,2291277.33,330,BB10057,2872968.67,2729750.93,143217.74,4.99,10155,NS001-736863227-679,Online,11-03-2025,C10057,Bracelets,abc,Female,IND-GOLD,32,33.63,2,1.41,A885551
South,HYDERABAD,Antique,Chains,2115829.36,137,BB10058,2644992.81,2515198.25,129794.56,4.91,14918,NS001-724498871-499,Online,22-03-2025,C10058,Bracelets,bold,Female,MODERN,32.18,32.82,3,1.46,A559135
North,BANGALORE,Plain,Bangles,1561516.2,335,BB10059,1954604.78,1870169.87,84434.91,4.32,17283,NS001-304226107-176,Online,09-03-2025,C10059,Chains,bold,Female,IND-GOLD,17.27,18.4,3,0.35,A356604
West,HYDERABAD,CZ,Rings,1085319.16,419,BB10060,1229158.27,1173359.42,55798.85,4.54,18869,NS001-973127500-532,Store,07-03-2025,C10060,Bangles,bold,Female,PCJ-PLAIN,14.49,15.41,2,1.65,A962171
West,HYDERABAD,CZ,Bangles,1405209.41,377,BB10061,1606890.58,1589895.41,16995.17,1.06,10867,NS001-613944367-890,Store,08-04-2025,C10061,Bracelets,bold,Female,MODERN,44.59,45.76,2,1.2,A158915
East,DELHI,KDM,Bangles,1287299.03,425,BB10062,1542114.16,1467167.22,74946.94,4.86,12970,NS001-901994651-507,Online,21-04-2025,C10062,Bangles,classic,Male,IND-GOLD,26.03,27.91,2,1.3,A107813
East,HYDERABAD,CZ,Bangles,1559965.27,388,BB10063,2006950.36,1976273.42,30676.94,1.53,17596,NS001-373218928-340,Store,25-04-2025,C10063,Rings,bold,Female,IND-GOLD,28.43,29.52,3,1.96,A781377
West,MUMBAI,KDM,Rings,1210229.09,112,BB10064,1485758.34,1415841.19,69917.15,4.71,12589,NS001-174347925-637,Store,24-03-2025,C10064,Bangles,xyz,Male,MODERN,42.95,43.88,1,2.32,A278971
West,DELHI,Antique,Bangles,2240208.06,383,BB10065,2756414.74,2699574.92,56839.82,2.06,16843,NS001-504032675-575,Online,29-03-2025,C10065,Bracelets,abc,Male,IND-GOLD,14.64,15.17,1,1.43,A314531
East,CHENNAI,CZ,Bangles,2361543.88,231,BB10066,2828634.99,2763372.31,65262.68,2.31,10876,NS001-556472969-360,Online,20-03-2025,C10066,Chains,xyz,Female,PCJ-PLAIN,41.63,43.39,3,0.59,A694097
Central,BANGALORE,CZ,Bangles,1462312.25,386,BB10067,1840171.18,1817762.69,22408.49,1.22,19949,NS001-568174744-671,Store,18-03-2025,C10067,Bangles,bold,Female,IND-GOLD,38.81,40.35,1,2.29,A903073
South,CHENNAI,Plain,Chains,2481209.08,463,BB10068,2944051.19,2801577.29,142473.9,4.84,13529,NS001-358159065-715,Online,29-04-2025,C10068,Bangles,xyz,Female,TRADITIONAL,24.77,25.53,2,2.35,A278144
East,CHENNAI,CZ,Chains,1502400.82,358,BB10069,1906655.52,1817294.13,89361.39,4.69,19950,NS001-360916495-360,Online,29-03-2025,C10069,Bangles,classic,Male,MODERN,46.83,47.44,3,0.33,A586916
Central,DELHI,Plain,Chains,2356240.27,499,BB10070,2711645.09,2639705.68,71939.41,2.65,16443,NS001-306734036-354,Store,12-03-2025,C10070,Rings,classic,Female,MODERN,49.15,50.92,3,0.05,A417822
West,BANGALORE,KDM,Rings,1066970.87,458,BB10071,1185711.71,1148692.6,37019.11,3.12,12161,NS001-302744706-757,Store,01-04-2025,C10071,Bangles,classic,Female,MODERN,33.93,35.61,1,1.79,A719832
South,HYDERABAD,Plain,Rings,1669086.9,346,BB10072,2015341.59,1951402.59,63939,3.17,18037,NS001-574757068-364,Store,06-03-2025,C10072,Bangles,bold,Male,PCJ-PLAIN,37.74,38.36,2,0.13,A488730
East,CHENNAI,Antique,Bracelets,2203889.85,224,BB10073,2565917.55,2500490.66,65426.89,2.55,18239,NS001-788442594-443,Online,16-03-2025,C10073,Bracelets,abc,Female,PCJ-PLAIN,40.7,42.01,2,0.82,A191934
North,DELHI,CZ,Chains,1159264.74,485,BB10074,1420035.17,1383992.36,36042.81,2.54,12768,NS001-500824173-247,Store,02-03-2025,C10074,Chains,xyz,Male,PCJ-PLAIN,39.16,41.09,2,0.86,A395286
East,HYDERABAD,KDM,Bracelets,1855690.12,143,BB10075,2411053.13,2340539.73,70513.4,2.92,14855,NS001-391405458-187,Store,22-04-2025,C10075,Bangles,xyz,Female,IND-GOLD,13.83,14.42,1,0.92,A608771
North,CHENNAI,KDM,Chains,1728955.81,403,BB10076,1939529.71,1914890.89,24638.82,1.27,19330,NS001-970275821-983,Online,20-03-2025,C10076,Rings,bold,Female,IND-GOLD,12.67,13.67,2,2.5,A904538
East,MUMBAI,KDM,Bangles,1731819.23,370,BB10077,2137249.85,2074131.79,63118.06,2.95,17894,NS001-436147990-341,Store,30-03-2025,C10077,Rings,bold,Male,IND-GOLD,24.69,26.15,2,2.06,A346284
West,DELHI,Plain,Chains,1545885.4,153,BB10078,1850561.63,1792949.01,57612.62,3.11,19599,NS001-908816041-305,Online,19-04-2025,C10078,Rings,bold,Female,IND-GOLD,36.42,37.92,1,2.05,A828049
East,DELHI,CZ,Bracelets,2238428.35,247,BB10079,2770155.45,2691381.07,78774.38,2.84,12263,NS001-458879558-462,Store,18-04-2025,C10079,Chains,xyz,Male,MODERN,18.07,19.02,3,1.77,A322677
South,BANGALORE,KDM,Bracelets,2479241.32,107,BB10080,3057078.53,2977314.75,79763.78,2.61,17708,NS001-699040859-667,Store,14-03-2025,C10080,Bangles,abc,Male,MODERN,30.89,32.18,3,2.39,A605836
West,BANGALORE,Plain,Rings,1588884.27,305,BB10081,2006132.07,1952170.75,53961.32,2.69,11673,NS001-653267766-851,Store,12-03-2025,C10081,Bangles,classic,Female,MODERN,36.57,37.36,1,1.14,A110017
Central,CHENNAI,Antique,Bangles,1573964.87,314,BB10082,1980365.91,1939804.35,40561.56,2.05,15266,NS001-156743647-636,Store,14-03-2025,C10082,Chains,bold,Male,MODERN,31.18,33.15,1,0.85,A923151
South,CHENNAI,Antique,Rings,2256434.55,413,BB10083,2600089.81,2559326.05,40763.76,1.57,10502,NS001-438232936-150,Online,20-03-2025,C10083,Rings,xyz,Male,PCJ-PLAIN,21.28,22.6,2,0.16,A700332
Central,MUMBAI,Antique,Chains,1222383.82,304,BB10084,1568847.14,1538468.54,30378.6,1.94,13704,NS001-471275149-496,Store,09-04-2025,C10084,Rings,abc,Male,TRADITIONAL,38.01,39.49,2,1.93,A546782
East,BANGALORE,CZ,Bangles,1934827.73,323,BB10085,2261833.38,2201234.74,60598.64,2.68,19553,NS001-881418900-714,Online,16-04-2025,C10085,Chains,xyz,Female,TRADITIONAL,30.42,31.12,2,2.33,A138122
East,BANGALORE,CZ,Bracelets,1053736.01,105,BB10086,1217161.71,1182347.11,34814.6,2.86,15258,NS001-497926001-132,Online,04-04-2025,C10086,Chains,xyz,Female,TRADITIONAL,28.4,29.33,3,2.07,A585627
West,BANGALORE,Plain,Chains,1168333.05,123,BB10087,1511092.01,1469434.24,41657.77,2.76,16267,NS001-358502964-852,Store,01-04-2025,C10087,Bracelets,xyz,Male,TRADITIONAL,13.81,14.52,2,0.15,A398104
East,DELHI,CZ,Chains,2062880.79,353,BB10088,2326047.63,2246531.7,79515.93,3.42,12513,NS001-943030971-855,Online,24-03-2025,C10088,Chains,classic,Female,MODERN,40.91,41.63,2,2.13,A146976
North,HYDERABAD,Plain,Rings,1118060.49,278,BB10089,1437657.59,1399371.08,38286.51,2.66,16990,NS001-130099859-964,Store,29-03-2025,C10089,Bracelets,bold,Male,TRADITIONAL,16.67,18.51,3,0.99,A253042
West,MUMBAI,Plain,Bracelets,1586415.59,189,BB10090,1835293.01,1805563.47,29729.54,1.62,17877,NS001-532774992-970,Online,28-04-2025,C10090,Chains,bold,Female,PCJ-PLAIN,49.56,50.9,1,1.23,A668893
Central,MUMBAI,Plain,Bangles,1969672.96,367,BB10091,2274983.63,2215808.7,59174.93,2.6,19751,NS001-485945095-964,Online,24-04-2025,C10091,Bracelets,abc,Female,IND-GOLD,19.93,20.73,2,0.97,A742512
Central,CHENNAI,Antique,Bangles,1019192.32,354,BB10092,1304098.31,1258028.95,46069.36,3.53,12884,NS001-590915993-900,Store,17-03-2025,C10092,Bangles,xyz,Female,MODERN,32.7,34.67,2,1.63,A579120
East,HYDERABAD,Antique,Rings,1419216.62,465,BB10093,1705552.73,1650088.44,55464.29,3.25,16917,NS001-117155354-435,Store,24-04-2025,C10093,Rings,abc,Male,TRADITIONAL,12.2,13.6,3,1.87,A851588
South,BANGALORE,Plain,Rings,1915357.11,462,BB10094,2150761.6,2099230.16,51531.44,2.4,16665,NS001-122826399-851,Online,09-04-2025,C10094,Bangles,xyz,Male,MODERN,36.47,38.45,2,0.56,A545399
West,DELHI,CZ,Rings,1124386.19,401,BB10095,1438597,1390071.65,48525.35,3.37,10584,NS001-203088324-872,Online,12-04-2025,C10095,Bracelets,bold,Female,IND-GOLD,16.67,18.45,1,2.02,A613700
West,MUMBAI,Antique,Chains,1147705.33,285,BB10096,1308391.01,1256693.16,51697.85,3.95,10707,NS001-180012710-338,Online,15-04-2025,C10096,Chains,classic,Female,MODERN,35.23,36.24,3,0.11,A874396
Central,DELHI,Antique,Bangles,1043239.42,464,BB10097,1175526.52,1152191.01,23335.51,1.99,18082,NS001-234303473-969,Online,03-04-2025,C10097,Bracelets,bold,Female,MODERN,32.21,33.33,1,0.74,A120428
North,BANGALORE,CZ,Rings,1618332.45,269,BB10098,2046110.12,1962312.44,83797.68,4.1,14699,NS001-120086903-919,Store,28-03-2025,C10098,Chains,abc,Male,IND-GOLD,16.09,17.34,1,1.33,A989794
Central,HYDERABAD,KDM,Chains,2217135.72,128,BB10099,2544978.08,2511853.49,33124.59,1.3,17252,NS001-347072435-264,Online,12-04-2025,C10099,Bangles,bold,Female,MODERN,16.64,17.28,1,0.44,A490957
West,HYDERABAD,KDM,Bracelets,2112468.84,280,BB10100,2666546.84,2619655.79,46891.05,1.76,10224,NS001-809875654-605,Store,18-04-2025,C10100,Chains,xyz,Male,MODERN,24.64,25.58,3,0.99,A902007
East,CHENNAI,CZ,Bangles,2165250.29,441,BB10101,2550761.69,2467428.16,83333.53,3.27,10084,NS001-903253501-821,Store,07-03-2025,C10101,Chains,classic,Female,MODERN,43.69,44.5,3,2.05,A873438
West,DELHI,KDM,Bracelets,1652937.17,384,BB10102,1875269.56,1802997.26,72272.3,3.85,10528,NS001-665606296-783,Store,18-03-2025,C10102,Rings,xyz,Female,MODERN,45.71,47.58,2,0.61,A233669
North,HYDERABAD,Plain,Bracelets,2114400.5,233,BB10103,2658194.93,2623734.91,34460.02,1.3,17465,NS001-733734798-703,Store,14-03-2025,C10103,Bracelets,classic,Male,MODERN,20.24,21.12,3,0.31,A156699
North,BANGALORE,KDM,Bracelets,1600637.25,418,BB10104,1975908.77,1900022.47,75886.3,3.84,11384,NS001-149767846-491,Online,13-04-2025,C10104,Bracelets,classic,Male,MODERN,46.14,47.77,1,1.04,A128562
Central,DELHI,CZ,Bracelets,1147874.07,289,BB10105,1386153.15,1330157.28,55995.87,4.04,12112,NS001-539554184-439,Online,16-03-2025,C10105,Bangles,abc,Male,TRADITIONAL,44.57,45.07,2,0.11,A842351
North,BANGALORE,KDM,Rings,1992090.14,345,BB10106,2451854.24,2391345.03,60509.21,2.47,15535,NS001-460008226-736,Online,23-03-2025,C10106,Bracelets,xyz,Male,PCJ-PLAIN,15.73,16.24,2,0.87,A562418
Central,CHENNAI,Antique,Chains,1454406.03,471,BB10107,1839189.98,1796940.59,42249.39,2.3,12873,NS001-671522706-858,Store,12-04-2025,C10107,Rings,bold,Male,MODERN,18.37,19.19,2,1.24,A897197
East,DELHI,Plain,Bracelets,1955728.21,369,BB10108,2534909.02,2452669.69,82239.33,3.24,12793,NS001-618035409-162,Store,02-04-2025,C10108,Bracelets,bold,Male,MODERN,27.11,28.19,1,1.83,A279395
North,DELHI,Plain,Chains,2404245.28,325,BB10109,3024027,2986413.77,37613.23,1.24,19510,NS001-818715360-111,Online,21-04-2025,C10109,Rings,abc,Male,MODERN,31.66,32.24,1,1.63,A536926
East,DELHI,Plain,Chains,1432242.87,164,BB10110,1586361.05,1539015.81,47345.24,2.98,11478,NS001-416691009-248,Store,28-03-2025,C10110,Bracelets,abc,Male,TRADITIONAL,38.56,39.42,3,0.02,A329188
East,CHENNAI,Plain,Chains,2330342.04,342,BB10111,2857477.74,2782319.49,75158.25,2.63,19344,NS001-241866192-562,Online,12-04-2025,C10111,Rings,bold,Male,TRADITIONAL,18.81,20.31,3,0.08,A837130
West,HYDERABAD,Antique,Chains,1502540.12,470,BB10112,1906758.25,1859599.09,47159.16,2.47,10422,NS001-603382306-219,Online,06-03-2025,C10112,Chains,abc,Male,TRADITIONAL,23.2,24.49,1,2.02,A482751
South,MUMBAI,Antique,Rings,1058048.59,298,BB10113,1333942.45,1288431.88,45510.57,3.41,19723,NS001-398989934-192,Online,06-04-2025,C10113,Bangles,abc,Male,PCJ-PLAIN,49.53,50.3,3,0.34,A237107
South,DELHI,KDM,Rings,1980985.68,166,BB10114,2386760.17,2273537.36,113222.81,4.74,14634,NS001-312410123-669,Store,03-03-2025,C10114,Bracelets,classic,Female,PCJ-PLAIN,47.77,49.03,1,1.49,A659386
Central,HYDERABAD,Antique,Bracelets,2356272.38,189,BB10115,2669916.09,2541783.05,128133.04,4.8,19722,NS001-104134801-973,Store,13-04-2025,C10115,Bracelets,xyz,Male,PCJ-PLAIN,11.77,13.53,1,1.64,A281613
West,BANGALORE,CZ,Bracelets,2149009.66,164,BB10116,2750328.49,2713744.59,36583.9,1.33,11346,NS001-512212760-240,Online,23-04-2025,C10116,Bangles,classic,Female,TRADITIONAL,45.14,47.06,1,1.79,A644798
East,MUMBAI,CZ,Chains,2193994.9,465,BB10117,2651550.72,2562694.04,88856.68,3.35,16930,NS001-635113490-599,Store,04-03-2025,C10117,Bangles,xyz,Female,PCJ-PLAIN,38.68,40.09,3,0.31,A249217
